,City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,year,Arson
0,Apache Junction,38506.0,107.0,0.0,1.0,15.0,91.0,921.0,251.0,597.0,73.0,2016,9.0
2,Buckeye,64563.0,35.0,2.0,2.0,15.0,16.0,1025.0,115.0,839.0,71.0,2016,2.0
3,Bullhead City,39426.0,99.0,0.0,10.0,16.0,73.0,1405.0,308.0,999.0,98.0,2016,2.0
4,Camp Verde,11213.0,30.0,1.0,0.0,4.0,25.0,351.0,90.0,235.0,26.0,2016,2.0
5,Casa Grande,51995.0,284.0,1.0,23.0,38.0,222.0,1744.0,346.0,1329.0,69.0,2016,12.0
6,Chandler,265922.0,558.0,4.0,124.0,157.0,273.0,6152.0,864.0,4895.0,393.0,2016,21.0
7,Chino Valley,11202.0,74.0,0.0,0.0,2.0,72.0,249.0,55.0,177.0,17.0,2016,0.0
10,Cottonwood,11932.0,43.0,0.0,1.0,1.0,41.0,496.0,66.0,404.0,26.0,2016,3.0
13,El Mirage,34376.0,74.0,1.0,7.0,16.0,50.0,1052.0,284.0,667.0,101.0,2016,9.0
14,Eloy,17110.0,62.0,0.0,3.0,6.0,53.0,460.0,117.0,307.0,36.0,2016,10.0
15,Flagstaff,71179.0,265.0,0.0,26.0,30.0,209.0,2856.0,255.0,2542.0,59.0,2016,24.0
16,Florence,31130.0,22.0,0.0,0.0,0.0,22.0,151.0,36.0,108.0,7.0,2016,0.0
18,Gilbert,255899.0,200.0,3.0,39.0,37.0,121.0,3368.0,564.0,2678.0,126.0,2016,31.0
19,Glendale,242938.0,1204.0,23.0,107.0,476.0,598.0,12805.0,1981.0,9690.0,1134.0,2016,
20,Goodyear,82018.0,310.0,0.0,18.0,28.0,264.0,2063.0,359.0,1561.0,143.0,2016,0.0
24,Kingman,29069.0,101.0,3.0,7.0,21.0,70.0,1480.0,262.0,1152.0,66.0,2016,10.0
25,Lake Havasu City,53746.0,141.0,2.0,31.0,6.0,102.0,1218.0,263.0,849.0,106.0,2016,25.0
26,Marana,42808.0,40.0,1.0,8.0,13.0,18.0,1045.0,66.0,947.0,32.0,2016,2.0
28,Mesa,478277.0,2051.0,19.0,272.0,450.0,1310.0,11214.0,1950.0,8404.0,860.0,2016,30.0
30,Nogales,20143.0,62.0,0.0,0.0,2.0,60.0,502.0,80.0,304.0,118.0,2016,0.0
31,Oro Valley,44089.0,29.0,0.0,4.0,7.0,18.0,653.0,70.0,555.0,28.0,2016,1.0
33,Paradise Valley,14155.0,9.0,0.0,5.0,1.0,3.0,232.0,57.0,168.0,7.0,2016,0.0
35,Payson,15351.0,55.0,0.0,5.0,5.0,45.0,379.0,85.0,265.0,29.0,2016,0.0
36,Peoria,174797.0,350.0,2.0,37.0,85.0,226.0,3709.0,645.0,2804.0,260.0,2016,12.0
37,Phoenix,1586611.0,10700.0,146.0,1019.0,3272.0,6263.0,58552.0,13024.0,37568.0,7960.0,2016,216.0
40,Prescott,42321.0,170.0,0.0,10.0,18.0,142.0,924.0,175.0,720.0,29.0,2016,5.0
41,Prescott,42900.0,78.0,1.0,13.0,14.0,50.0,994.0,126.0,836.0,32.0,2016,1.0
43,Sahuarita,25792.0,23.0,0.0,3.0,1.0,19.0,375.0,42.0,320.0,13.0,2016,3.0
45,Scottsdale,240885.0,369.0,4.0,90.0,112.0,163.0,5698.0,768.0,4681.0,249.0,2016,13.0
